Dimension,pca Time,pca Standard Deviation,qda Accuracy,qda Standard Deviation
72,0.49243342876434326,0.029672741889953613,0.80105,0.000150000000000039
73,0.5297609567642212,0.009253144264221191,0.8008500000000001,0.0005499999999999949
74,0.5324902534484863,0.006320953369140625,0.80115,0.000749999999999973
75,0.5268615484237671,0.03753674030303955,0.8017,9.999999999998899e-05
76,0.543271541595459,0.023333311080932617,0.8019499999999999,0.000250000000000028
77,0.5507240295410156,0.0250394344329834,0.80185,4.999999999999449e-05
78,0.5601986646652222,0.0076950788497924805,0.8019000000000001,0.00030000000000002247
79,0.35091280937194824,0.023985862731933594,0.8035,0.0007000000000000339
80,0.3878837823867798,0.007847428321838379,0.8006,0.00029999999999996696
81,0.36999356746673584,0.02041304111480713,0.8009999999999999,0.0005999999999999894
82,0.4016914367675781,0.022031784057617188,0.80105,0.0009500000000000064
83,0.3777947425842285,0.021018266677856445,0.8005,0.00039999999999995595
84,0.43146002292633057,0.05016982555389404,0.80155,0.0008500000000000174
85,0.40630340576171875,0.021639585494995117,0.8012999999999999,0.0005999999999999894
86,0.42626285552978516,0.0022971630096435547,0.80185,0.0006499999999999839
87,0.343361496925354,0.009986042976379395,0.8,0.0007999999999999674
88,0.42797398567199707,0.030883073806762695,0.7999,0.00040000000000001146
89,0.38949406147003174,0.010031819343566895,0.8019000000000001,0.0007999999999999674
90,0.4169512987136841,0.017843127250671387,0.8,0.00040000000000001146
91,0.47752130031585693,0.058745741844177246,0.80035,0.0011499999999999844
92,0.428104043006897,0.043457865715026855,0.79945,0.0010499999999999954
93,0.42184627056121826,0.005044817924499512,0.79935,0.0007500000000000284
94,0.4439427852630615,0.005766868591308594,0.7987,0.00040000000000001146
95,0.40028655529022217,0.028076529502868652,0.79975,0.0008499999999999619
96,0.43464434146881104,0.005684494972229004,0.8,0.0014000000000000123
97,0.44452857971191406,0.0034008026123046875,0.7993,0.0006000000000000449
98,0.43707525730133057,0.024974465370178223,0.7965500000000001,0.0005499999999999949
99,0.4719346761703491,0.014466166496276855,0.7979499999999999,0.000749999999999973
100,0.5126950740814209,0.02190089225769043,0.7973,0.0
